STATION,NAME,STATE,DATE,PRCP,TMAX,TMIN
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/1/80,0,11.7,1.1
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/2/80,0,15,-1.1
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/3/80,11.4,15.6,1.1
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/4/80,1.5,11.1,4.4
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/5/80,0,6.1,-1.1
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/6/80,0,11.1,-2.8
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/7/80,6.1,15.6,7.2
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/8/80,0,8.3,6.1
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/9/80,0,9.4,5
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/10/80,0,13.9,5
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/11/80,22.4,18.3,7.8
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/12/80,0,8.9,4.4
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/13/80,0,13.3,5
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/14/80,0,17.2,7.2
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/15/80,0,16.1,6.1
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/16/80,5.6,16.1,7.2
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/17/80,3.3,15.6,13.3
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/18/80,0,17.2,7.8
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/19/80,0,21.1,3.3
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/20/80,0,17.2,5
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/21/80,7.4,12.8,10
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/22/80,63,15.6,7.8
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/23/80,0,7.8,0
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/24/80,0,17.2,0
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/25/80,0.5,15.6,8.9
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/26/80,6.4,13.3,11.1
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/27/80,0,12.2,7.8
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/28/80,0,11.7,3.3
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/29/80,0,6.7,3.3
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/30/80,16,10.6,3.3
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,1/31/80,0,5.6,-1.7
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,2/1/80,0,2.2,-5.6
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,2/2/80,0,5.6,-7.2
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,2/3/80,0,7.8,-1.1
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,2/4/80,0,10,-0.6
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,2/5/80,7.9,8.9,1.7
USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",AL,2/6/80,0,7.8,-1.1
