STATION,NAME,STATE,DATE,PRCP,TMAX,TMIN
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/1/80,2,4.4,0.6
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/2/80,0,7.8,-5.6
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/3/80,0.8,9.4,-1.7
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/4/80,13.2,3.3,-0.6
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/5/80,0,2.8,-4.4
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/6/80,0,1.7,-6.7
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/7/80,5.1,8.3,-2.8
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/8/80,0,8.9,-3.9
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/9/80,0,7.2,-3.3
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/10/80,0,6.1,-5.6
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/11/80,8.6,13.9,-1.1
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/12/80,1.5,15,-7.8
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/13/80,0,10,-2.8
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/14/80,0.5,14.4,1.1
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/15/80,0,14.4,3.3
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/16/80,0.8,13.3,5.6
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/17/80,6.9,14.4,6.1
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/18/80,0,15.6,2.8
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/19/80,0,14.4,-4.4
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/20/80,0,16.7,-1.1
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/21/80,0,12.2,-3.3
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/22/80,5.8,7.2,-0.6
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/23/80,0.5,6.1,-5.6
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/24/80,0,8.9,-7.8
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/25/80,0,16.7,2.8
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/26/80,0,13.3,0
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/27/80,0,8.3,0
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/28/80,0,1.7,-3.3
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/29/80,0,0,-6.1
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/30/80,0,1.1,-5.6
USC00401790,"CLARKSVILLE WWTP, TN US",TN,1/31/80,0,-3.3,-7.2
USC00401790,"CLARKSVILLE WWTP, TN US",TN,2/1/80,0,-1.1,-11.1
USC00401790,"CLARKSVILLE WWTP, TN US",TN,2/2/80,0,-2.8,-15
USC00401790,"CLARKSVILLE WWTP, TN US",TN,2/3/80,0,1.1,-10
USC00401790,"CLARKSVILLE WWTP, TN US",TN,2/4/80,0,1.7,-13.3
USC00401790,"CLARKSVILLE WWTP, TN US",TN,2/5/80,0.8,1.1,-7.2
